City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,5.43,89,83,3.35,SJ,1722715805
1,gamba,-2.65,10.0,22.42,74,71,4.22,GA,1722715806
2,albany,42.6001,-73.9662,28.43,66,86,2.16,US,1722715656
3,thompson,55.7435,-97.8558,21.9,26,66,4.83,CA,1722715808
4,jamestown,42.097,-79.2353,25.77,83,100,2.06,US,1722715612
5,barah,13.7,30.3667,29.78,54,100,3.12,SD,1722715810
6,edinburgh of the seven seas,-37.0676,-12.3116,11.88,70,99,13.77,SH,1722715812
7,brigantine,39.4101,-74.3646,31.22,73,0,5.66,US,1722715813
8,isafjordur,66.0755,-23.124,7.82,96,99,4.56,IS,1722715814
9,blackmans bay,-43.0167,147.3167,8.74,71,71,4.04,AU,1722715815
10,tazovsky,67.4667,78.7,12.03,80,78,4.33,RU,1722715816
11,remire-montjoly,4.9167,-52.2667,27.02,78,0,2.06,GF,1722715817
12,ta`u,-14.2336,-169.5144,26.64,64,75,5.18,AS,1722715818
13,qamdo,31.1667,97.2333,7.79,82,91,1.76,CN,1722715820
14,bredasdorp,-34.5322,20.0403,7.98,91,99,2.13,ZA,1722715821
15,vorkuta,67.5,64.0,14.65,63,100,7.15,RU,1722715822
16,bethel,41.3712,-73.414,32.23,69,20,3.09,US,1722715642
17,invercargill,-46.4,168.35,2.23,92,62,1.79,NZ,1722715826
18,port shepstone,-30.7414,30.455,18.37,85,16,7.15,ZA,1722715827
19,atafu village,-8.5421,-172.5159,28.24,75,48,6.78,TK,1722715828
20,ribeira grande,38.5167,-28.7,26.22,73,20,4.63,PT,1722715829
21,bikenibeu village,1.3673,173.1241,29.98,74,20,4.63,KI,1722715830
22,port-aux-francais,-49.35,70.2167,2.63,83,12,11.14,TF,1722715831
23,launceston,-41.45,147.1667,8.42,100,100,5.66,AU,1722715832
24,utrik,11.2278,169.8474,28.2,77,1,3.34,MH,1722715834
25,mokshan,53.4365,44.6132,18.87,65,100,2.75,RU,1722715835
26,padangsidempuan,1.3667,99.2667,21.51,99,100,0.8,ID,1722715836
27,cabo san lucas,22.8909,-109.9124,37.01,43,0,7.2,MX,1722715837
28,bilibino,68.0546,166.4372,6.74,71,98,0.87,RU,1722715838
29,lebu,-37.6167,-73.65,11.32,83,94,5.56,CL,1722715839
30,ancud,-41.8697,-73.8203,9.0,83,100,7.66,CL,1722715638
31,saipan,15.1355,145.701,27.39,83,75,7.2,MP,1722715599
32,wielen,52.8946,16.1714,19.33,57,45,0.43,PL,1722715843
33,sao francisco de paula,-29.4481,-50.5836,23.19,60,63,3.7,BR,1722715844
34,talnakh,69.4865,88.3972,13.31,71,30,1.77,RU,1722715845
35,adamstown,-25.066,-130.1015,20.88,73,21,6.45,PN,1722715846
36,aasiaat,68.7098,-52.8699,5.16,80,9,3.32,GL,1722715825
37,grytviken,-54.2811,-36.5092,-4.48,94,100,4.59,GS,1722715850
38,driefontein,-27.0177,30.4498,10.97,35,0,1.53,ZA,1722715851
39,farsan,32.2569,50.561,22.51,23,0,2.79,IR,1722715852
40,klyuchi,52.2667,79.1667,18.54,86,94,4.67,RU,1722715853
41,kailua-kona,19.6406,-155.9956,30.33,71,0,5.14,US,1722715854
42,puerto maldonado,-12.6,-69.1833,23.22,94,40,3.6,PE,1722715855
43,iqaluit,63.7506,-68.5145,6.5,70,9,6.71,CA,1722715857
44,port elizabeth,-33.918,25.5701,16.84,44,78,0.89,ZA,1722715858
45,badger,64.8,-147.5333,12.21,91,100,1.54,US,1722715859
46,lihue,21.9789,-159.3672,26.77,78,40,5.66,US,1722715860
47,fort bragg,35.139,-79.006,33.08,68,75,4.63,US,1722715861
48,hawaiian paradise park,19.5933,-154.9731,25.73,92,100,1.54,US,1722715862
49,aykhal,66.0,111.5,12.58,65,39,3.0,RU,1722715864
50,calvinia,-31.4707,19.776,12.16,25,15,2.38,ZA,1722715865
51,siran,40.1894,39.1267,16.55,81,0,1.45,TR,1722715866
52,bardai,11.65,7.2333,21.69,92,80,2.92,NG,1722715867
53,constitucion,-35.3333,-72.4167,12.6,71,83,1.73,CL,1722715639
54,mont-dore,-22.2833,166.5833,19.44,99,67,3.0,NC,1722715870
55,waitangi,-43.9535,-176.5597,8.23,80,37,1.34,NZ,1722715871
56,yuzhno-kurilsk,44.0306,145.8556,16.67,99,92,2.57,RU,1722715872
57,la sarre,48.8002,-79.1996,26.46,43,2,5.91,CA,1722715677
58,tomatlan,19.9333,-105.25,27.0,81,100,0.95,MX,1722715874
59,west island,-12.1568,96.8225,25.99,78,75,5.14,CC,1722715875
60,desvres,50.6688,1.8348,19.16,99,100,3.58,FR,1722715876
61,howrah,22.5892,88.3103,28.0,94,40,3.09,IN,1722715878
62,goianesia,-15.3175,-49.1175,29.69,19,0,2.31,BR,1722715879
63,tiksi,71.6872,128.8694,6.48,81,99,1.2,RU,1722715880
64,toyooka,35.5333,134.8333,25.52,93,5,1.69,JP,1722715881
65,papatowai,-46.5619,169.4708,4.02,84,100,2.84,NZ,1722715882
66,queenstown,-31.8976,26.8753,13.18,29,96,2.92,ZA,1722715883
67,puerto natales,-51.7236,-72.4875,3.25,93,75,1.03,CL,1722715885
68,inirida,3.8653,-67.9239,32.78,55,50,0.34,CO,1722715886
69,kegen,43.0197,79.2203,13.63,70,54,2.27,KZ,1722715887
70,peace river,56.2501,-117.286,24.17,46,0,3.6,CA,1722715888
71,labrador city,52.9463,-66.9114,25.66,62,75,1.54,CA,1722715889
72,calabozo,8.9242,-67.4293,29.97,70,100,1.83,VE,1722715890
73,ushuaia,-54.8,-68.3,-2.32,83,100,1.98,AR,1722715652
74,ilulissat,69.2167,-51.1,13.01,47,20,3.09,GL,1722715894
75,kodinar,20.7903,70.7031,27.27,87,100,9.27,IN,1722715896
76,kapuskasing,49.4169,-82.4331,25.05,50,75,5.66,CA,1722715897
77,margaret river,-33.95,115.0667,10.38,75,0,1.36,AU,1722715898
78,tanabe,33.7333,135.3667,26.01,91,3,1.4,JP,1722715900
79,sretensk,52.2453,117.7093,15.38,99,99,1.9,RU,1722715901
80,alofi,-19.0595,-169.9187,23.94,83,40,3.6,NU,1722715902
81,arkhangel'sk,64.5401,40.5433,14.06,100,20,2.0,RU,1722715903
82,lodja,-3.4833,23.4333,24.87,34,4,0.61,CD,1722715904
83,vorgashor,67.5833,63.95,13.57,66,100,7.31,RU,1722715905
84,kavaratti,10.5669,72.642,27.41,83,100,5.73,IN,1722715907
85,anshun,26.25,105.9333,18.67,99,100,1.23,CN,1722715908
86,centerville,39.6284,-84.1594,30.71,65,75,4.63,US,1722715909
87,fort st. john,56.2499,-120.8529,22.95,37,100,2.59,CA,1722715910
88,mumford,5.2618,-0.759,23.32,92,12,4.29,GH,1722715911
89,coruripe,-10.1256,-36.1756,23.77,76,9,5.35,BR,1722715912
90,tongliao,43.6125,122.2653,24.39,92,100,5.36,CN,1722715914
91,susuman,62.7833,148.1667,8.56,59,8,0.63,RU,1722715915
92,happy valley-goose bay,53.3168,-60.3315,22.17,64,75,5.14,CA,1722715916
93,lodwar,3.1191,35.5973,28.97,46,84,9.32,KE,1722715917
94,cerro de ortega,18.75,-103.7667,30.58,64,100,1.1,MX,1722715918
95,lensk,60.7253,114.9278,11.43,79,16,2.55,RU,1722715919
96,whitehorse,60.7161,-135.0538,17.28,57,75,3.09,CA,1722715921
97,taulaga,-11.0553,-171.0883,27.45,69,100,4.51,AS,1722715922
98,kalmunai,7.4167,81.8167,27.44,82,100,3.3,LK,1722715923
99,yarmouth,41.7057,-70.2286,30.92,75,0,8.23,US,1722715924
100,hamilton,39.1834,-84.5333,31.44,64,20,2.57,US,1722715638
101,alexandria,31.2156,29.9553,27.29,62,0,2.25,EG,1722715926
102,madinat ash shamal,26.1293,51.2009,34.4,54,97,4.41,QA,1722715928
103,turpan,42.9333,89.1667,35.56,16,11,1.53,CN,1722715929
104,xinmin,41.9908,122.8253,24.51,98,100,2.97,CN,1722715930
105,puerto ayora,-0.7393,-90.3518,23.98,85,88,3.13,EC,1722715931
106,iskateley,67.6803,53.1512,9.7,81,87,7.64,RU,1722715932
107,kuala terengganu,5.3302,103.1408,25.13,88,50,1.59,MY,1722715933
108,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,94,0,3.0,RU,1722715934
109,haiku-pauwela,20.9219,-156.3051,26.76,89,75,7.2,US,1722715936
110,payette,44.0782,-116.9338,36.08,29,0,2.06,US,1722715937
111,san patricio,28.017,-97.5169,35.86,41,47,2.95,US,1722715938
112,laguna,38.421,-121.4238,38.46,27,0,0.89,US,1722715939
113,eraan,9.0629,117.7016,25.35,82,74,1.01,PH,1722715940
114,dudinka,69.4058,86.1778,10.8,76,10,4.7,RU,1722715941
115,hadibu,12.65,54.0333,25.62,81,18,10.17,YE,1722715943
116,fortuna,40.5982,-124.1573,18.85,89,75,3.09,US,1722715944
117,sinabang,2.4803,96.3801,25.59,83,100,3.59,ID,1722715945
118,mirny,62.5353,113.9611,11.09,61,99,1.34,RU,1722715897
119,mar del plata,-38.0023,-57.5575,17.19,45,56,3.13,AR,1722716168
120,reggane,26.7158,0.1714,38.75,5,0,5.63,DZ,1722715948
121,enewetak,11.3474,162.3373,28.17,77,100,0.2,MH,1722715950
122,anadyr,64.75,177.4833,9.28,87,75,4.0,RU,1722715951
123,timbuktu,16.7735,-3.0074,29.52,58,50,3.4,ML,1722715952
124,yemva,62.59,50.8594,15.37,98,93,2.79,RU,1722715953
125,xining,36.6167,101.7667,12.62,85,2,1.41,CN,1722715954
126,port lincoln,-34.7333,135.8667,10.99,74,100,4.53,AU,1722715955
127,geraldton,-28.7667,114.6,8.23,81,0,3.09,AU,1722715957
128,le port,-20.9373,55.2919,19.0,89,28,0.71,RE,1722715958
129,san andres,12.5847,-81.7006,30.01,79,40,4.63,CO,1722715959
130,nouadhibou,20.931,-17.0347,24.99,78,0,2.57,MR,1722715960
131,qaqortoq,60.7167,-46.0333,9.67,69,0,3.27,GL,1722715961
132,rio grande,-32.035,-52.0986,26.06,79,19,4.21,BR,1722715962
133,port mathurin,-19.6833,63.4167,22.32,69,18,5.11,MU,1722715964
134,saint-joseph,-21.3667,55.6167,18.21,75,5,2.51,RE,1722715965
135,uturoa,-16.7333,-151.4333,24.94,64,92,5.29,PF,1722715966
136,mitu,1.1983,-70.1733,28.25,76,93,0.59,CO,1722715680
137,atchison,39.563,-95.1216,34.62,58,100,1.56,US,1722715968
138,ust-nera,64.5667,143.2,10.29,64,26,2.05,RU,1722715969
139,mangai,-4.05,19.5333,26.51,37,18,0.27,CD,1722715971
140,kingston,17.997,-76.7936,32.53,66,20,8.75,JM,1722716211
141,pisco,-13.7,-76.2167,18.03,82,20,3.6,PE,1722715973
142,tashtyp,52.7939,89.8983,17.04,92,100,2.06,RU,1722715974
143,college,64.8569,-147.8028,12.26,89,100,2.06,US,1722715975
144,selfoss,63.9331,-20.9971,11.95,70,100,8.72,IS,1722715976
145,rabaul,-4.1967,152.1721,26.06,82,100,4.97,PG,1722715977
146,la'ie,21.6477,-157.9253,28.98,74,35,1.79,US,1722715979
147,niquero,20.0431,-77.5828,31.12,66,25,7.4,CU,1722715980
148,hithadhoo,-0.6,73.0833,28.12,78,100,4.07,MV,1722715981
149,skovorodino,53.9833,123.9167,13.84,68,83,2.89,RU,1722715982
150,bungo-takada-shi,33.5567,131.4451,28.99,87,1,1.17,JP,1722715983
151,wajir,1.7471,40.0573,27.51,46,100,10.01,KE,1722715985
152,punta arenas,-53.15,-70.9167,1.06,80,75,5.14,CL,1722715986
153,hami,42.8,93.45,28.84,21,0,6.25,CN,1722715987
154,yeppoon,-23.1333,150.7333,15.7,89,100,5.1,AU,1722715988
155,neryungri,56.6709,124.6491,10.47,88,100,2.16,RU,1722715989
156,ronneby,56.21,15.276,18.28,72,100,2.06,SE,1722715990
157,san antonio de pale,-1.4014,5.6325,22.81,74,91,5.72,GQ,1722715991
158,lengshuitan,26.4111,111.5956,25.74,85,0,2.36,CN,1722715993
159,nemuro,43.3236,145.575,16.5,97,96,3.95,JP,1722715994
160,lerwick,60.1545,-1.1494,13.0,82,4,3.6,GB,1722715995
161,nova sintra,14.8667,-24.7167,26.65,74,100,1.7,CV,1722715996
162,dubti,11.7361,41.0853,27.73,66,72,1.72,ET,1722715997
163,tobol'sk,58.2,68.2667,14.5,93,2,2.75,RU,1722715998
164,sabang,5.8933,95.3214,28.31,75,100,8.43,ID,1722716000
165,akobo,7.4344,3.9497,21.98,92,91,2.24,NG,1722716001
166,fang,19.9169,99.2145,21.96,99,92,0.76,TH,1722716002
167,ed damer,17.5928,33.9592,30.97,52,88,1.28,SD,1722716003
168,kingscliff,-28.2667,153.5667,10.89,93,13,1.03,AU,1722716004
169,arroyo,41.6096,-4.7969,27.55,29,0,3.09,ES,1722716006
170,mercedes,-34.6515,-59.4307,19.36,62,16,3.76,AR,1722716007
171,taltal,-25.4,-70.4833,17.06,68,91,2.07,CL,1722716008
172,stanley,54.868,-1.6985,14.84,75,5,3.01,GB,1722716009
173,ketchikan,55.3422,-131.6461,22.26,46,0,5.66,US,1722716010
174,namtsy,62.7161,129.6658,9.83,66,21,0.73,RU,1722716011
175,selkirk,50.1436,-96.8845,23.42,64,40,3.13,CA,1722716013
176,mejit,10.2753,170.8646,27.91,77,15,2.69,MH,1722716014
177,yellowknife,62.456,-114.3525,21.29,42,75,5.81,CA,1722716015
178,katipunan,7.5825,122.8306,25.41,90,99,2.44,PH,1722716016
179,palikir - national government center,6.9248,158.1611,24.41,94,40,2.06,FM,1722716017
180,eket,4.6412,7.9209,24.33,85,61,2.73,NG,1722716019
181,carutapera,-1.195,-46.02,28.19,68,13,5.01,BR,1722716020
182,castillos,-34.1667,-53.8333,13.4,81,100,3.74,UY,1722716021
183,cidreira,-30.1811,-50.2056,19.02,81,41,5.62,BR,1722716022
184,fier,40.7239,19.5561,24.44,75,49,2.25,AL,1722716023
185,smithers,54.7804,-127.1743,25.18,23,0,1.54,CA,1722716024
186,walvis bay,-22.9575,14.5053,13.38,82,5,1.23,NA,1722716025
187,lorengau,-2.0226,147.2712,26.88,83,65,4.9,PG,1722716027
188,constantia,44.1833,28.65,22.38,49,100,9.23,RO,1722716028
189,upper grand lagoon,30.1633,-85.7408,32.82,73,40,4.12,US,1722716029
190,novyy urgal,51.0736,132.5642,16.26,62,98,1.33,RU,1722716030
191,san jose de feliciano,-30.3845,-58.7517,20.85,66,18,7.73,AR,1722716031
192,north bend,43.4065,-124.2243,22.21,77,100,7.2,US,1722716032
193,thunder bay,48.4001,-89.3168,22.99,56,75,5.14,CA,1722716034
194,gadzhiyevo,69.2551,33.3362,9.26,94,20,3.84,RU,1722716035
195,ialibu,-6.2821,143.9935,14.5,97,99,0.33,PG,1722716036
196,luwuk,-0.9516,122.7875,21.77,87,99,2.26,ID,1722716037
197,avarua,-21.2078,-159.775,22.03,64,100,0.51,CK,1722716040
198,kodiak,57.79,-152.4072,13.73,67,100,4.63,US,1722716041
199,antigo,45.1402,-89.1523,29.03,47,0,0.0,US,1722716042
200,rabo de peixe,37.8,-25.5833,24.73,69,20,4.12,PT,1722716043
201,mahibadhoo,3.7833,72.9667,27.91,73,98,1.35,MV,1722716044
202,tangalle,6.024,80.7911,25.64,89,89,4.22,LK,1722716045
203,orapa,-21.2833,25.3667,18.83,21,1,2.95,BW,1722715808
204,seria,4.6167,114.3167,26.12,88,23,1.55,BN,1722716048
205,camana,-16.6228,-72.7111,17.38,76,2,4.15,PE,1722715813
206,greymouth,-42.4667,171.2,0.37,91,21,2.64,NZ,1722716050
207,monrovia,6.3005,-10.7969,24.87,85,92,6.36,LR,1722715775
208,fale old settlement,-9.3852,-171.2468,27.64,80,65,6.11,TK,1722716053
209,hotan,37.0997,79.9269,29.03,22,6,2.36,CN,1722716054
210,madison,34.7334,-86.5667,31.62,55,0,2.57,US,1722715832
211,colonia,50.9333,6.95,21.57,75,75,5.66,DE,1722715829
212,higuera de zaragoza,25.95,-109.2833,33.96,47,18,6.89,MX,1722716057
213,yung shue wan,22.2333,114.1167,29.26,86,6,5.11,HK,1722716059
214,nephi,39.7102,-111.8363,34.05,21,100,5.55,US,1722716060
215,moanda,-1.5575,13.2178,28.45,45,78,2.34,GA,1722716061
216,twon-brass,4.3151,6.2418,25.65,79,50,4.74,NG,1722716062
217,portland,45.5234,-122.6762,28.3,39,75,4.12,US,1722716063
218,cooper's town,26.8667,-77.5167,29.19,76,100,8.61,BS,1722716064
219,bac lieu,9.285,105.7244,26.24,86,100,3.19,VN,1722716066
220,longyearbyen,78.2186,15.6401,10.91,93,75,3.6,SJ,1722716067
221,wailua homesteads,22.0669,-159.378,26.44,88,40,5.66,US,1722716068
222,santa elena de uairen,4.6167,-61.1333,24.19,70,52,3.03,VE,1722716069
223,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1722716070
224,udachny,66.4167,112.4,12.94,71,61,2.08,RU,1722716071
225,oeiras do para,-2.0031,-49.8544,34.59,30,12,1.66,BR,1722716073
226,kristiansund,63.1115,7.732,19.03,84,75,2.06,NO,1722716074
227,sitka,57.0531,-135.33,17.94,63,40,4.12,US,1722716075
228,dzhalil',55.0239,52.7358,13.85,91,23,3.59,RU,1722716076
229,laminusa,5.5549,120.9136,28.61,73,87,3.17,PH,1722716077
230,acarau,-2.8856,-40.12,26.81,70,69,8.85,BR,1722716078
231,kone,-21.0595,164.8658,15.0,71,0,0.57,NC,1722716081
232,warmbad,-28.45,18.7333,19.84,9,58,5.02,NA,1722716082
233,kyzyl-mazhalyk,51.1333,90.6,14.95,77,99,1.57,RU,1722716083
234,saint-pierre,-21.3393,55.4781,18.82,72,0,2.57,RE,1722716084
235,rupea,46.0333,25.2167,17.63,61,10,1.73,RO,1722716085
236,dul'durga,50.6761,113.5931,14.64,95,53,1.76,RU,1722716087
237,peniche,39.3558,-9.3811,21.23,89,0,7.63,PT,1722716088
238,bhimunipatnam,17.8833,83.4333,27.73,78,100,5.98,IN,1722716090
239,coalcoman de vazquez pallares,18.7833,-103.15,24.53,81,100,0.74,MX,1722716091
240,margate,51.3813,1.3862,18.26,79,76,6.47,GB,1722716002
241,mount isa,-20.7333,139.5,5.87,81,0,1.03,AU,1722716094
242,keflavik,64.0049,-22.5624,14.95,82,75,6.69,IS,1722716095
243,sao joao da barra,-21.6403,-41.0511,22.05,80,48,6.98,BR,1722716096
244,broken hill,-31.95,141.4333,11.65,41,100,3.07,AU,1722716097
245,ciudad bolivar,8.1222,-63.5497,31.85,56,75,2.88,VE,1722716098
246,altinyayla,39.2725,36.751,18.11,36,0,1.39,TR,1722716100
247,berdigestyakh,62.0989,126.6992,9.7,64,4,1.55,RU,1722716101
248,la libertad,-2.2333,-80.9,22.81,83,100,5.14,EC,1722716102
249,hafar al-batin,28.4328,45.9708,36.32,12,0,5.14,SA,1722716484
250,lompoc,34.6391,-120.4579,29.36,49,0,4.75,US,1722716487
251,matsumoto,36.2333,137.9667,24.95,94,4,0.96,JP,1722716488
252,luza,60.6308,47.2512,14.5,97,74,2.12,RU,1722716489
253,pucallpa,-8.3791,-74.5539,37.81,25,26,2.25,PE,1722716384
254,arraial do cabo,-22.9661,-42.0278,23.92,73,75,4.63,BR,1722716491
255,tolanaro,-25.0319,46.9987,18.04,88,20,3.09,MG,1722716492
256,georgetown,5.4112,100.3354,26.96,74,20,1.54,MY,1722716332
257,coquimbo,-29.9533,-71.3436,17.21,64,0,4.12,CL,1722716249
258,nishinoomote,30.7333,131.0,28.58,78,68,0.89,JP,1722716496
259,newman,37.3138,-121.0208,37.36,16,46,1.77,US,1722716497
260,kerikeri,-35.2268,173.9474,12.73,85,100,4.02,NZ,1722716498
261,cunen,15.3375,-91.0269,25.78,44,67,3.37,GT,1722716499
262,ola,59.5833,151.2833,12.38,54,2,2.04,RU,1722716500
263,kavieng,-2.5744,150.7967,27.21,81,100,6.57,PG,1722716502
264,kem',64.9555,34.5793,12.72,88,99,3.96,RU,1722716503
265,burang,30.25,81.1667,9.74,83,100,0.93,CN,1722716504
266,luderitz,-26.6481,15.1594,12.51,95,22,4.69,NA,1722716505
267,las vegas,36.175,-115.1372,42.09,21,0,5.14,US,1722715869
268,carnarvon,-24.8667,113.6333,16.93,58,0,6.22,AU,1722716507
269,manismata,-2.4667,111.0333,22.51,99,100,1.24,ID,1722716509
270,inskoy,54.4297,86.44,17.59,92,100,2.62,RU,1722716510
271,troitsk,54.0979,61.5773,13.4,93,41,3.06,RU,1722716511
272,hermanus,-34.4187,19.2345,7.11,80,92,4.9,ZA,1722716512
273,vilyuchinsk,52.9306,158.4028,14.15,83,99,2.04,RU,1722716513
274,igarka,67.4667,86.5833,12.18,97,31,1.66,RU,1722716514
275,chepstow,51.6409,-2.6768,17.38,69,99,3.77,GB,1722716515
276,tabou,4.423,-7.3528,24.11,81,66,3.21,CI,1722716517
277,fort mcmurray,56.7268,-111.381,21.77,52,20,1.03,CA,1722716518
278,stephenville,32.2207,-98.2023,36.76,38,0,2.06,US,1722716519
279,london,51.5085,-0.1257,20.7,60,83,1.34,GB,1722716171
280,weno,7.4515,151.8468,27.96,76,81,2.77,FM,1722716521
281,howard springs,-12.497,131.047,21.95,93,100,2.07,AU,1722716522
282,urengoy,65.9667,78.3667,17.81,92,99,2.92,RU,1722716524
283,pennathur,12.25,79.2333,28.89,60,100,3.6,IN,1722716525
284,kutulik,53.3508,102.7839,15.27,85,49,1.18,RU,1722716526
285,kununurra,-15.7667,128.7333,14.99,88,8,0.0,AU,1722716527
286,corinto,37.9407,22.9573,28.83,39,0,0.72,GR,1722716528
287,al jawf,29.5,38.75,29.07,17,5,3.94,SA,1722716531
288,tavricheskoye,54.5851,73.6395,14.95,83,0,2.99,RU,1722716532
289,masterton,-40.9597,175.6575,1.17,92,54,1.65,NZ,1722716533
290,urumqi,43.801,87.6005,28.53,28,0,4.0,CN,1722716481
291,villa ocampo,-28.4875,-59.3551,25.27,54,35,7.45,AR,1722716535
292,sinjar,36.3209,41.8754,32.39,15,0,6.35,IQ,1722716537
293,santarem,-2.4431,-54.7083,32.07,62,0,5.66,BR,1722716538
294,zhaobaoshan,29.9695,121.6875,29.01,81,16,1.43,CN,1722716539
295,jalilabad,39.2096,48.4919,24.94,59,45,0.41,AZ,1722716540
296,gyor,47.6833,17.6351,20.58,72,0,0.0,HU,1722716541
297,ares,-6.1944,-35.1603,26.05,73,0,6.46,BR,1722716543
298,polyarnyy,69.1989,33.4478,9.25,92,11,3.49,RU,1722716544
299,ribas do rio pardo,-20.4431,-53.7592,33.87,17,8,5.17,BR,1722716545
300,nangen,35.41,127.3858,25.48,98,10,0.64,KR,1722716547
301,samus',56.7475,84.6992,19.25,78,8,2.49,RU,1722716548
302,rawson,-43.3002,-65.1023,13.61,34,5,12.84,AR,1722716511
303,oromocto,45.8351,-66.4792,27.96,61,75,5.14,CA,1722716551
304,buala,-8.145,159.5921,26.22,85,100,2.28,SB,1722716552
305,jisr ash shughur,35.8143,36.3206,22.63,85,0,4.09,SY,1722716553
306,george town,5.4112,100.3354,26.96,74,20,1.54,MY,1722716312
307,la ronge,55.1001,-105.2842,24.12,28,75,5.66,CA,1722716557
308,qarqin,37.4185,66.0436,30.27,20,0,4.99,AF,1722716558
309,bonthe,7.5264,-12.505,25.03,86,100,6.01,SL,1722716559
310,noumea,-22.2763,166.4572,19.44,99,35,3.85,NC,1722716560
311,shuangjiang,26.1547,109.7138,22.22,96,61,1.52,CN,1722716561
312,mahdia,35.5047,11.0622,28.97,75,50,7.17,TN,1722716562
313,birjand,32.8663,59.2211,27.26,14,0,4.12,IR,1722716564
314,steinbach,50.1667,8.5667,22.01,85,40,1.54,DE,1722716565
315,morrinhos,-17.7311,-49.0994,27.83,23,0,3.96,BR,1722716567
316,zheleznodorozhnyy,55.7503,38.0042,18.53,78,11,2.15,RU,1722716568
317,nabari,34.6167,136.0833,28.34,99,1,0.97,JP,1722716569
318,khadzhalmakhi,42.42,47.1821,19.58,78,68,1.01,RU,1722716571
319,masuda,34.6667,131.85,27.28,85,3,1.6,JP,1722716572
320,codrington,-38.2667,141.9667,4.25,92,47,3.99,AU,1722716573
321,villa hernandarias,-31.231,-59.985,15.14,56,20,6.97,AR,1722716574
322,malakal,9.5334,31.6605,25.85,72,92,0.78,SS,1722716575
323,archangelos,36.2149,28.1149,26.84,58,0,3.26,GR,1722716576
324,pionerskiy,54.9508,20.2275,15.91,76,13,2.84,RU,1722716578
325,kabwe,-14.4469,28.4464,16.68,38,4,2.84,ZM,1722716579
326,port alfred,-33.5906,26.891,19.76,39,89,4.57,ZA,1722716580
327,koryazhma,61.3143,47.1691,15.01,97,73,1.63,RU,1722716581
328,kruisfontein,-34.0033,24.7314,15.88,20,97,3.24,ZA,1722716582
329,ujae,8.9322,165.7642,28.41,75,3,2.7,MH,1722716583
330,saudarkrokur,65.7461,-19.6394,13.2,70,100,4.1,IS,1722716585
331,richards bay,-28.783,32.0377,19.88,81,4,6.05,ZA,1722716586
332,vadso,70.0744,29.7487,10.49,87,100,5.14,NO,1722716587
333,grand-lahou,5.1367,-5.0242,23.18,91,66,2.88,CI,1722716588
334,dunedin,-45.8742,170.5036,2.67,92,74,3.68,NZ,1722716589
335,salekhard,66.53,66.6019,15.41,81,100,9.58,RU,1722716590
336,lukolela,-1.0605,17.1821,25.26,59,52,1.68,CD,1722716591
337,guiyang,26.5833,106.7167,22.27,88,75,2.0,CN,1722716408
338,hilo,19.7297,-155.09,25.85,90,100,1.54,US,1722716594
339,harrisburg,40.2737,-76.8844,28.85,76,75,2.06,US,1722716363
340,atar,20.5169,-13.0499,36.88,31,100,5.25,MR,1722716596
341,jarwal,27.1667,81.55,26.07,87,82,7.68,IN,1722716597
342,ambodifotatra,-16.9833,49.85,21.83,66,12,0.98,MG,1722716598
343,alice springs,-23.7,133.8833,9.75,57,87,0.51,AU,1722716600
344,caleta de carquin,-11.0925,-77.6267,19.3,72,32,4.41,PE,1722716601
345,kyzylorda,44.8528,65.5092,20.01,49,0,2.0,KZ,1722716602
346,taguatinga,-12.3857,-46.5711,32.6,19,0,2.67,BR,1722716603
347,puerto baquerizo moreno,-0.9,-89.6,23.55,88,20,4.63,EC,1722716604
348,ust-tsilma,65.441,52.1498,18.35,68,80,4.02,RU,1722716605
349,sala,34.0389,-6.8166,24.8,94,0,2.06,MA,1722716606
350,al wafrah,28.6392,47.9306,34.4,14,0,5.87,KW,1722716608
351,heroica caborca,30.7167,-112.15,39.99,26,8,2.75,MX,1722716609
352,pestovo,58.5938,35.8024,14.92,87,19,2.19,RU,1722716610
353,santa rosa,14.3122,121.1114,26.99,91,100,2.29,PH,1722716141
354,sao pedro do sul,-29.6206,-54.1789,28.36,59,89,7.11,BR,1722716612
355,nogliki,51.8333,143.1667,11.53,76,100,1.19,RU,1722716613
356,port blair,11.6667,92.75,26.02,94,100,1.03,IN,1722716615
357,santa marta,11.2408,-74.199,32.16,68,40,4.12,CO,1722716388
358,as sulayyil,20.4607,45.5779,37.14,15,100,2.85,SA,1722716617
359,kitami,43.8031,143.8908,21.02,97,38,1.42,JP,1722716618
